"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ALEMBICLTD","EQ","05-Aug-2020","         88.85","         89.20","         92.30","         88.15","         88.30","         88.80","         90.17","    2470466","           222769766.55","      15387","     799829","         32.38"
"ALEMBICLTD","EQ","06-Aug-2020","         88.80","         88.10","         95.00","         87.50","         94.90","         94.35","         92.49","    5000024","           462476283.35","      25281","    1526139","         30.52"
"ALEMBICLTD","EQ","07-Aug-2020","         94.35","         94.95","         96.40","         88.20","         88.60","         89.50","         93.08","    4758113","           442866116.30","      27919","    1463306","         30.75"
"ALEMBICLTD","EQ","10-Aug-2020","         89.50","         89.45","         91.15","         86.30","         86.80","         87.25","         88.60","    1873170","           165966345.80","      13469","     744780","         39.76"
"ALEMBICLTD","EQ","11-Aug-2020","         87.25","         88.15","         89.00","         85.55","         86.05","         86.15","         87.38","    1008433","            88121739.70","       7206","     430064","         42.65"
"ALEMBICLTD","EQ","12-Aug-2020","         86.15","         85.75","         86.85","         83.60","         83.85","         84.00","         85.05","     627182","            53340038.00","       5052","     316135","         50.41"
"ALEMBICLTD","EQ","13-Aug-2020","         84.00","         84.10","         87.70","         84.10","         86.50","         86.95","         86.31","    1175325","           101442091.55","       8153","     437680","         37.24"
"ALEMBICLTD","EQ","14-Aug-2020","         86.95","         86.90","         89.40","         84.05","         85.00","         85.10","         87.18","    1323130","           115351463.50","       9152","     458888","         34.68"
"ALEMBICLTD","EQ","17-Aug-2020","         85.10","         85.85","         86.25","         82.65","         82.90","         83.05","         83.77","     685477","            57419231.85","       5238","     344030","         50.19"
"ALEMBICLTD","EQ","18-Aug-2020","         83.05","         83.00","         84.25","         82.45","         82.85","         82.75","         83.18","     590544","            49120190.85","       4586","     281292","         47.63"
"ALEMBICLTD","EQ","19-Aug-2020","         82.75","         83.10","         84.80","         81.30","         82.40","         82.30","         83.35","     779624","            64981239.15","       5731","     303897","         38.98"
"ALEMBICLTD","EQ","20-Aug-2020","         82.30","         81.85","         83.80","         81.35","         82.70","         82.40","         82.73","     478665","            39602100.20","       3785","     206058","         43.05"
